DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk;;DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk;;DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk
;;;;;;;;;;;;;;;;
4;30;91;89;80;;4;95;11;5,5;80;;4;55;57,5;57,5;50
4;25;89;89;80;;4;85;5,5;5,5;80;;6;60;65;65;50
6;10;100;100;80;;6;95;5,5;5,5;80;;6;65;50;50;50
4;25;89;89;80;;4;80;5,5;11;80;;4;65;50;42,5;50
6;15;100;100;80;;4;85;16,5;16,5;80;;4;65;50;42,5;50
6;45;80;71;80;;6;90;22;16,5;80;;4;65;50;42,5;50
4;35;80;71;80;;4;80;16,5;16,5;80;;4;60;50;50;50
2;10;100;100;80;;6;95;11;5,5;80;;6;50;72,5;80;50
4;5;100;100;80;;4;95;0;0;80;;4;60;50;50;50
4;25;89;89;80;;4;95;11;5,5;80;;6;55;72,5;72,5;50
4;35;80;71;80;;4;75;22;16,5;80;;4;65;50;42,5;50
4;20;89;98;80;;6;80;27,5;22;80;;2;50;65;57,5;50
6;35;98;80;80;;4;80;16,5;16,5;80;;6;55;65;65;50
6;35;82;82;80;;4;95;11;5,5;80;;20;5;100;100;50
4;35;80;71;80;;8;75;44;44;80;;2;50;65;57,5;50
8;10;100;100;80;;4;90;11;5,5;80;;4;65;50;42,5;50
8;25;91;100;80;;4;85;16,5;16,5;80;;6;65;65;57,5;50
6;25;100;98;80;;4;90;11;5,5;80;;4;50;57,5;65;50
12;45;91;100;80;;4;70;27,5;27,5;80;;4;55;57,5;57,5;50
6;15;100;100;80;;4;80;5,5;11;80;;4;55;57,5;57,5;50
4;20;100;100;80;;6;75;16,5;22;80;;6;65;65;50;50
4;30;80;80;80;;4;90;11;5,5;80;;6;55;72,5;72,5;50
4;20;89;98;80;;4;90;11;5,5;80;;2;40;72,5;72,5;50
6;35;98;80;80;;4;90;0;0;80;;2;40;72,5;72,5;50
6;35;82;82;80;;4;95;0;0;80;;4;45;80;72,5;50
8;60;62;53;80;;4;85;16,5;16,5;80;;4;65;50;42,5;50
4;35;80;71;80;;4;85;16,5;16,5;80;;4;50;57,5;65;50
4;20;100;100;80;;4;80;5,5;11;80;;4;55;65;57,5;50
4;20;89;98;80;;4;75;16,5;16,5;80;;8;65;65;57,5;50
4;35;80;71;80;;4;80;5,5;11;80;;4;50;57,5;65;50
4;30;80;80;80;;4;90;11;5,5;80;;8;40;95;100;50
4;35;80;71;80;;6;80;27,5;27,5;80;;6;65;42,5;50;50
4;10;100;100;80;;4;90;11;5,5;80;;4;65;50;42,5;50
10;25;100;100;80;;4;65;27,5;27,5;80;;4;60;50;50;50
8;30;82;91;80;;4;95;11;5,5;80;;4;60;50;50;50
4;20;89;98;80;;4;95;11;5,5;80;;6;60;57,5;65;50
6;35;98;89;80;;4;90;0;0;80;;6;65;65;57,5;50
4;20;82;91;80;;4;95;11;5,5;80;;2;40;72,5;72,5;50
8;30;82;91;80;;4;90;0;0;80;;6;65;65;57,5;50
6;20;100;100;80;;4;90;0;0;80;;2;50;65;57,5;50
4;20;89;98;80;;4;80;22;16,5;80;;6;45;72,5;80;50
4;20;82;91;80;;4;75;16,5;16,5;80;;4;45;80;72,5;50
4;30;80;80;80;;4;80;16,5;16,5;80;;8;60;72,5;65;50
6;30;64;82;80;;4;95;11;5,5;80;;2;40;72,5;72,5;50
6;25;98;98;80;;4;80;5,5;11;80;;4;60;50;50;50
8;30;100;100;80;;4;70;27,5;27,5;80;;4;50;72,5;72,5;50
6;10;100;100;80;;4;80;16,5;16,5;80;;4;55;57,5;57,5;50
8;20;100;100;80;;4;95;11;5,5;80;;4;55;57,5;57,5;50
6;35;82;82;80;;4;65;27,5;27,5;80;;4;55;57,5;57,5;50
2;20;98;89;80;;4;80;16,5;16,5;80;;8;45;80;87,5;50
6;30;82;89;80;;4;95;11;5,5;80;;4;50;57,5;65;50
4;35;80;71;80;;8;70;44;44;80;;8;55;72,5;72,5;50
4;10;100;100;80;;6;95;22;11;80;;6;50;72,5;80;50
4;35;80;71;80;;4;80;5,5;11;80;;2;50;65;57,5;50
2;10;100;100;80;;4;80;5,5;11;80;;6;75;50;42,5;50
2;30;62;71;80;;4;85;16,5;16,5;80;;4;55;57,5;57,5;50
4;35;80;71;80;;6;90;11;11;80;;6;70;50;50;50
6;20;100;100;80;;4;95;0;0;80;;2;50;65;57,5;50
4;20;91;100;80;;4;90;11;5,5;80;;4;60;50;50;50
4;30;80;80;80;;6;95;22;16,5;80;;2;40;72,5;72,5;50
4;20;82;91;80;;4;80;5,5;11;80;;4;55;57,5;57,5;50
6;25;100;91;80;;4;80;16,5;16,5;80;;4;55;57,5;57,5;50
4;25;89;89;80;;4;90;11;5,5;80;;2;50;65;57,5;50
4;25;89;89;80;;4;85;16,5;16,5;80;;2;50;65;57,5;50
6;40;80;71;80;;4;95;11;5,5;80;;4;65;50;42,5;50
4;10;100;100;80;;4;80;5,5;11;80;;2;40;72,5;72,5;50
4;25;89;89;80;;6;80;27,5;27,5;80;;10;45;100;95;50
8;30;100;100;80;;4;90;11;5,5;80;;8;90;35;27,5;50
2;20;98;89;80;;4;85;16,5;16,5;80;;4;50;57,5;65;50
4;10;100;100;80;;4;85;16,5;16,5;80;;4;50;57,5;65;50
4;20;91;100;80;;8;80;27,5;22;80;;4;50;57,5;65;50
8;50;80;71;80;;4;80;22;16,5;80;;6;65;65;57,5;50
2;30;62;71;80;;4;85;16,5;16,5;80;;8;60;72,5;72,5;50
4;5;100;100;80;;6;65;38,5;33;80;;6;65;57,5;57,5;50
4;35;80;71;80;;6;80;27,5;27,5;80;;2;40;72,5;72,5;50
6;50;62;53;80;;2;95;0;0;80;;4;55;57,5;57,5;50
6;35;98;80;80;;6;95;22;11;80;;2;60;35;42,5;50
6;40;80;80;80;;4;90;0;0;80;;2;40;72,5;72,5;50
4;15;91;100;80;;6;90;22;16,5;80;;8;55;72,5;80;50
4;20;91;100;80;;6;90;5,5;5,5;80;;4;65;50;42,5;50
4;35;80;71;80;;4;85;16,5;16,5;80;;6;50;72,5;72,5;50
4;25;82;82;80;;4;95;11;5,5;80;;2;40;72,5;72,5;50
6;25;100;91;80;;6;80;16,5;16,5;80;;6;55;72,5;72,5;50
4;35;80;71;80;;4;75;22;16,5;80;;8;75;57,5;57,5;50
6;40;80;71;80;;4;80;16,5;16,5;80;;8;70;42,5;57,5;50
4;20;89;98;80;;4;80;16,5;16,5;80;;6;55;65;65;50
6;25;100;98;80;;4;90;11;5,5;80;;4;50;57,5;65;50
4;30;80;80;80;;6;100;11;5,5;80;;6;55;57,5;65;50
4;20;89;98;80;;4;90;11;5,5;80;;8;55;57,5;72,5;50
4;20;89;98;80;;4;65;27,5;27,5;80;;4;65;50;42,5;50
6;20;100;100;80;;4;90;0;0;80;;4;35;87,5;87,5;50
6;30;98;98;80;;4;80;16,5;16,5;80;;6;65;42,5;50;50
4;35;80;71;80;;4;80;16,5;16,5;80;;4;65;50;42,5;50
4;35;80;71;80;;4;95;11;5,5;80;;4;65;50;42,5;50
8;30;91;100;80;;4;90;11;5,5;80;;4;60;65;57,5;50
4;25;82;82;80;;6;90;11;5,5;80;;4;50;80;72,5;50
8;30;91;100;80;;4;80;22;16,5;80;;2;60;35;42,5;50
4;30;91;89;80;;6;80;27,5;27,5;80;;4;50;57,5;65;50
8;45;55;64;80;;4;90;0;0;80;;4;50;57,5;65;50
6;35;82;82;80;;4;80;16,5;16,5;80;;2;50;65;57,5;50
;;;;;;;;;;;;;;;;
5,06;26,85;88,11;87,65;80;;4,48;85,1;14,355;12,595;80;;4,74;55,05;61,8;61,05;50
